road_name,road_type,longitude,latitude
Balakrishna Street,tertiary,80.2922811,13.1323739
N Terminus Road,secondary,80.2965635,13.1439001
East Kalmandapam Road,secondary,80.2929526,13.1142183
West Kalmandapam Road,tertiary,80.2925488,13.1145622
Sennaiamman Koil Street,tertiary,80.2894712,13.1332056
Sathyamoorty Nagar Main Road,tertiary,80.2656061,13.1111259
Moorthinagar Street,primary,80.2614697,13.1142316
Muthu Street,primary,80.2635443,13.1140846
,primary,80.2635443,13.1140846
MKB Nagar Central Avenue,secondary,80.2658525,13.1228371
,tertiary,80.2715266,13.1266087
TVK Link Road,secondary,80.266374,13.128518
SIDCO Main Road,secondary,80.2528967,13.1315238
Ethiraj Samy Salai,secondary,80.2499327,13.1294301
3rd Main Road,tertiary,80.2486638,13.1246188
Manali Road,secondary,80.2668269,13.1303038
Meenambal Road,tertiary,80.2586686,13.1361009
Tiruvalluvar Street,tertiary,80.2552256,13.1363654
Kamarajar Salai,tertiary,80.2436058,13.1384475
Tiruvalluvar Street,tertiary,80.2542372,13.1259557
5th Main Road,tertiary,80.2492607,13.1370113
Kodungaiyur Manali Salai,tertiary,80.2479149,13.1374221
,tertiary,80.2569681,13.1539782
Kathivakkam High Road,secondary,80.2759285,13.1164185
Gollavar Agraharam Road,tertiary,80.2891289,13.1157237
Old Jail Road,primary_link,80.2820369,13.105382
Peddu Street,secondary,80.2761249,13.1021067
MKB Nagar East Avenue,secondary,80.2658783,13.1265828
Erukkancheri High Road,primary,80.2621754,13.1173632
Erukkancheri High Road,tertiary,80.2654814,13.1109772
Melpatti Ponappa Street,secondary,80.2595676,13.1133715
Bharathi Road,tertiary,80.2487322,13.1153495
Krishna Doss Road,tertiary,80.2525067,13.1022038
Vepery High Road,secondary,80.2705201,13.0842566
Deputy Mayor Kabalamurthy Road,secondary,80.2734774,13.0740834
West Cooum River Road,tertiary,80.269388,13.0682704
Adithanar Road,secondary,80.2625902,13.0727188
Tondiarpet High Road,secondary,80.2586686,13.1361009
Jambulingam Main Road,secondary,80.2263844,13.1097792
,tertiary,80.2483921,13.1127631
Jawwahar Nagar 1st Main Road,tertiary,80.2316876,13.1124278
Karthikeyan Road,tertiary,80.2242134,13.1145448
9th Street,secondary,80.2273029,13.1133749
Sundara Perumal Koil Street,tertiary,80.2320798,13.1083534
Pallavan Salai,tertiary,80.2374618,13.1221175
Sundara Perumal Koil Street,tertiary,80.2316871,13.1160817
Madhavaram High Road,primary,80.2441092,13.1097153
Jambulingam Main Road,tertiary,80.2255062,13.1098057
Venkatesan Road,tertiary,80.2265599,13.1110937
,tertiary,80.2127283,13.10907
Kolathur Main Road,secondary,80.2110985,13.1168677
Poompuhar Nagar 1st Main Road,secondary,80.2125111,13.1181924
Ramakrishna Link Road,tertiary,80.2031403,13.1138372
Rajamangalam Main Road,tertiary,80.2031403,13.1138372
SIDCO Nagar 4th Main Road,tertiary,80.2049019,13.109129
South Cooum River Road,tertiary,80.2684601,13.0684686
Ethiraj Salai,secondary,80.2590649,13.0643696
Bazullah Road,secondary,80.2330666,13.0474161
Rangarajapuram Main Road,tertiary,80.2215145,13.0478996
4th Avenue,secondary,80.2174054,13.0437362
21st Avenue,tertiary,80.2144691,13.0472146
Corporation Colony Road,tertiary,80.226224,13.0467058
Munusamy Salai,secondary,80.1928108,13.0383029
Thiruvalluvar 1st Street,tertiary,80.1912111,13.0380115
Abusali Street,tertiary,80.1991474,13.0489453
Kalaingar Karunanidhi Road,tertiary,80.2040743,13.0544035
Arunachalam Street,tertiary,80.2038574,13.0480347
Barathidasan Colony Main Road,secondary,80.2008036,13.0314553
Reddy Kuppam Road,secondary,80.2242997,13.0311889
Jayaram Street,secondary,80.2197887,13.0248793
Mosque Street,secondary,80.2195386,13.0222965
70 Feet Road,secondary,80.2274518,13.0304771
Five Furlong Road,secondary,80.2135615,13.0004962
Rosary Church Road,secondary,80.2737173,13.0342553
Sringeri Mutt Road,tertiary,80.2587268,13.0234585
Shastri Nagar 1st Avenue,tertiary,80.2597986,13.0010602
Indira Nagar 3rd Avenue,tertiary,80.2560579,12.9907693
School Road,tertiary,80.1985128,13.0930485
Anna Nagar 6th Avenue,tertiary,80.2165517,13.0923255
18th Main Road,tertiary,80.2065733,13.0946619
Purasawalkam High Road,secondary,80.2504524,13.0858951
,primary,80.25447,13.0823253
Perambur Barracks Salai,secondary,80.2589084,13.0943566
MMDA Colony Main Road,tertiary,80.215652,13.0727055
MMDA Colony Main Road,tertiary,80.2144613,13.0627195
Sterling Avenue,secondary,80.2363844,13.0643375
Nelson Manickam Road,secondary,80.236259,13.0622758
New Colony Main Road,tertiary,80.2018045,12.9897433
Annai Velankanni Road,tertiary,80.2692116,12.9954937
Besant Nagar 1st Avenue,tertiary,80.2653435,13.0002825
Elliot's Beach Promenade,tertiary,80.2722686,13.0026861
Inner Ring Road,primary,80.2117575,13.0318885
Jawaharlal Nehru Road (100 Feet Road),primary,80.1992191,13.0759872
15th Avenue,primary,80.2095977,13.032486
Vanniar Street,tertiary,80.2295595,13.0574698
Periyar Pathi Road,tertiary,80.2213435,13.0602523
Puliyur Main Road,tertiary,80.2241579,13.05722
Trustpuram 2nd Main Road,tertiary,80.2228794,13.0582358
Pulla Avenue,tertiary,80.2249753,13.0774518
Harrington Road,tertiary,80.2332056,13.0700471
Nungambakkam Subway,secondary,80.234412,13.0653109
Periyar Pathai Road,tertiary,80.2213435,13.0602523
Kumaran Nagar Main Road,secondary,80.223944,13.1213702
Balaji Nagar Main Road,secondary,80.2245523,13.124348
Constable Road,tertiary,80.2158553,13.105735
Mariya Nayagam Main Street,tertiary,80.2419024,13.1151292
,tertiary,80.1354236,13.007358
Manapakkam Main Road,secondary,80.1753737,13.0172018
